method,display_name,planted_source_index,estimated_component_index,signed_r,abs_r,sign_flip,source_vertex,source_hemi,source_label,selection_score,selected_for_panel_d
fastica,FastICA,10,20,0.9970277477006909,0.9970277477006909,False,30467,lh,middletemporal-lh,,False
fastica,FastICA,11,17,-0.9899336051016248,0.9899336051016248,True,152907,lh,frontalpole-lh,,False
fastica,FastICA,12,26,0.996224511422266,0.996224511422266,False,36823,lh,inferiortemporal-lh,,False
fastica,FastICA,13,3,-0.997019772832511,0.997019772832511,True,95728,lh,caudalanteriorcingulate-lh,,False
fastica,FastICA,14,10,-0.9986785557652021,0.9986785557652021,True,19789,lh,postcentral-lh,,False
fastica,FastICA,15,28,-0.9967561097777633,0.9967561097777633,True,107405,lh,parsopercularis-lh,,False
fastica,FastICA,16,25,0.9959732997883233,0.9959732997883233,False,38908,lh,isthmuscingulate-lh,,False
fastica,FastICA,17,30,0.9993993194888899,0.9993993194888899,False,4773,rh,precuneus-rh,,False
fastica,FastICA,18,23,-0.9820881081865381,0.9820881081865381,True,154179,rh,frontalpole-rh,0.9820881081865381,True
fastica,FastICA,19,4,-0.9759716386227927,0.9759716386227927,True,121283,lh,temporalpole-lh,0.9789897018396234,True
fastica,FastICA,20,12,-0.996484477704024,0.996484477704024,True,105454,rh,rostralmiddlefrontal-rh,,False
fastica,FastICA,21,21,0.9952170512312063,0.9952170512312063,False,66616,rh,parahippocampal-rh,,False
fastica,FastICA,22,1,-0.9924271000686009,0.9924271000686009,True,64096,lh,insula-lh,,False
fastica,FastICA,23,0,-0.986623157963923,0.986623157963923,True,64498,lh,parahippocampal-lh,0.986623157963923,True
fastica,FastICA,24,31,0.9915798554840295,0.9915798554840295,False,100052,rh,caudalanteriorcingulate-rh,,False
fastica,FastICA,25,11,-0.9990450764393544,0.9990450764393544,True,55756,rh,bankssts-rh,,False
fastica,FastICA,26,27,-0.9980466411407357,0.9980466411407357,True,109649,lh,medialorbitofrontal-lh,,False
fastica,FastICA,27,29,-0.9940569134961964,0.9940569134961964,True,42874,rh,supramarginal-rh,,False
fastica,FastICA,28,6,0.9869902627155307,0.9869902627155307,False,123078,lh,lateralorbitofrontal-lh,,False
fastica,FastICA,29,5,-0.9980581376688498,0.9980581376688498,True,33499,rh,inferiortemporal-rh,,False
fastica,FastICA,30,14,0.994267953921395,0.994267953921395,False,10118,rh,lingual-rh,,False
fastica,FastICA,31,8,-0.9886494672126099,0.9886494672126099,True,2380,lh,pericalcarine-lh,,False
