dataset,subject,num_models,fit_seed,surrogate,surrogate_seed
ds004505,9,9,1,phase,100009
ds004505,9,9,2,none,0
ds004505,9,9,2,phase,100009
ds004505,9,10,0,none,0
ds004505,9,10,0,phase,100009
ds004505,9,10,1,none,0
ds004505,9,10,1,phase,100009
ds004505,9,10,2,none,0
ds004505,9,10,2,phase,100009
ds004505,10,1,0,none,0
ds004505,10,1,0,phase,100010
ds004505,10,1,1,none,0
ds004505,10,1,1,phase,100010
ds004505,10,1,2,none,0
ds004505,10,1,2,phase,100010
ds004505,10,2,0,none,0
ds004505,10,2,0,phase,100010
ds004505,10,2,1,none,0
ds004505,10,2,1,phase,100010
ds004505,10,2,2,none,0
ds004505,10,2,2,phase,100010
ds004505,10,3,0,none,0
ds004505,10,3,0,phase,100010
ds004505,10,3,1,none,0
ds004505,10,3,1,phase,100010
ds004505,10,3,2,none,0
ds004505,10,3,2,phase,100010
ds004505,10,4,0,none,0
ds004505,10,4,0,phase,100010
ds004505,10,4,1,none,0
ds004505,10,4,1,phase,100010
ds004505,10,4,2,none,0
ds004505,10,4,2,phase,100010
ds004505,10,5,0,none,0
ds004505,10,5,0,phase,100010
ds004505,10,5,1,none,0
ds004505,10,5,1,phase,100010
ds004505,10,5,2,none,0
ds004505,10,5,2,phase,100010
ds004505,10,6,0,none,0
ds004505,10,6,0,phase,100010
ds004505,10,6,1,none,0
ds004505,10,6,1,phase,100010
ds004505,10,6,2,none,0
ds004505,10,6,2,phase,100010
ds004505,10,7,0,none,0
ds004505,10,7,0,phase,100010
ds004505,10,7,1,none,0
ds004505,10,7,1,phase,100010
ds004505,10,7,2,none,0
ds004505,10,7,2,phase,100010
ds004505,10,8,0,none,0
ds004505,10,8,0,phase,100010
ds004505,10,8,1,none,0
ds004505,10,8,1,phase,100010
ds004505,10,8,2,none,0
ds004505,10,8,2,phase,100010
ds004505,10,9,0,none,0
ds004505,10,9,0,phase,100010
ds004505,10,9,1,none,0
ds004505,10,9,1,phase,100010
ds004505,10,9,2,none,0
ds004505,10,9,2,phase,100010
ds004505,10,10,0,none,0
ds004505,10,10,0,phase,100010
ds004505,10,10,1,none,0
ds004505,10,10,1,phase,100010
ds004505,10,10,2,none,0
ds004505,10,10,2,phase,100010
ds004505,11,1,0,none,0
ds004505,11,1,0,phase,100011
ds004505,11,1,1,none,0
ds004505,11,1,1,phase,100011
ds004505,11,1,2,none,0
ds004505,11,1,2,phase,100011
ds004505,11,2,0,none,0
ds004505,11,2,0,phase,100011
ds004505,11,2,1,none,0
ds004505,11,2,1,phase,100011
ds004505,11,2,2,none,0
ds004505,11,2,2,phase,100011
ds004505,11,3,0,none,0
ds004505,11,3,0,phase,100011
ds004505,11,3,1,none,0
ds004505,11,3,1,phase,100011
ds004505,11,3,2,none,0
ds004505,11,3,2,phase,100011
ds004505,11,4,0,none,0
ds004505,11,4,0,phase,100011
ds004505,11,4,1,none,0
ds004505,11,4,1,phase,100011
ds004505,11,4,2,none,0
ds004505,11,4,2,phase,100011
ds004505,11,5,0,none,0
ds004505,11,5,0,phase,100011
ds004505,11,5,1,none,0
ds004505,11,5,1,phase,100011
ds004505,11,5,2,none,0
ds004505,11,5,2,phase,100011
ds004505,11,6,0,none,0
ds004505,11,6,0,phase,100011
ds004505,11,6,1,none,0
ds004505,11,6,1,phase,100011
ds004505,11,6,2,none,0
ds004505,11,6,2,phase,100011
ds004505,11,7,0,none,0
ds004505,11,7,0,phase,100011
ds004505,11,7,1,none,0
ds004505,11,7,1,phase,100011
ds004505,11,7,2,none,0
ds004505,11,7,2,phase,100011
ds004505,11,8,0,none,0
ds004505,11,8,0,phase,100011
ds004505,11,8,1,none,0
ds004505,11,8,1,phase,100011
ds004505,11,8,2,none,0
ds004505,11,8,2,phase,100011
ds004505,11,9,0,none,0
ds004505,11,9,0,phase,100011
ds004505,11,9,1,none,0
ds004505,11,9,1,phase,100011
ds004505,11,9,2,none,0
ds004505,11,9,2,phase,100011
ds004505,11,10,0,none,0
ds004505,11,10,0,phase,100011
ds004505,11,10,1,none,0
ds004505,11,10,1,phase,100011
ds004505,11,10,2,none,0
ds004505,11,10,2,phase,100011
ds004505,12,1,0,none,0
ds004505,12,1,0,phase,100012
ds004505,12,1,1,none,0
ds004505,12,1,1,phase,100012
ds004505,12,1,2,none,0
ds004505,12,1,2,phase,100012
ds004505,12,2,0,none,0
ds004505,12,2,0,phase,100012
ds004505,12,2,1,none,0
ds004505,12,2,1,phase,100012
ds004505,12,2,2,none,0
ds004505,12,2,2,phase,100012
ds004505,12,3,0,none,0
ds004505,12,3,0,phase,100012
ds004505,12,3,1,none,0
ds004505,12,3,1,phase,100012
ds004505,12,3,2,none,0
ds004505,12,3,2,phase,100012
ds004505,12,4,0,none,0
ds004505,12,4,0,phase,100012
ds004505,12,4,1,none,0
ds004505,12,4,1,phase,100012
ds004505,12,4,2,none,0
ds004505,12,4,2,phase,100012
ds004505,12,5,0,none,0
ds004505,12,5,0,phase,100012
ds004505,12,5,1,none,0
ds004505,12,5,1,phase,100012
ds004505,12,5,2,none,0
ds004505,12,5,2,phase,100012
ds004505,12,6,0,none,0
ds004505,12,6,0,phase,100012
ds004505,12,6,1,none,0
ds004505,12,6,1,phase,100012
ds004505,12,6,2,none,0
ds004505,12,6,2,phase,100012
ds004505,12,7,0,none,0
ds004505,12,7,0,phase,100012
ds004505,12,7,1,none,0
ds004505,12,7,1,phase,100012
ds004505,12,7,2,none,0
ds004505,12,7,2,phase,100012
ds004505,12,8,0,none,0
ds004505,12,8,0,phase,100012
ds004505,12,8,1,none,0
ds004505,12,8,1,phase,100012
ds004505,12,8,2,none,0
ds004505,12,8,2,phase,100012
ds004505,12,9,0,none,0
ds004505,12,9,0,phase,100012
ds004505,12,9,1,none,0
ds004505,12,9,1,phase,100012
ds004505,12,9,2,none,0
ds004505,12,9,2,phase,100012
ds004505,12,10,0,none,0
ds004505,12,10,0,phase,100012
ds004505,12,10,1,none,0
ds004505,12,10,1,phase,100012
ds004505,12,10,2,none,0
ds004505,12,10,2,phase,100012
ds004505,13,1,0,none,0
ds004505,13,1,0,phase,100013
ds004505,13,1,1,none,0
ds004505,13,1,1,phase,100013
ds004505,13,1,2,none,0
ds004505,13,1,2,phase,100013
ds004505,13,2,0,none,0
ds004505,13,2,0,phase,100013
ds004505,13,2,1,none,0
ds004505,13,2,1,phase,100013
ds004505,13,2,2,none,0
ds004505,13,2,2,phase,100013
ds004505,13,3,0,none,0
ds004505,13,3,0,phase,100013
ds004505,13,3,1,none,0
ds004505,13,3,1,phase,100013
ds004505,13,3,2,none,0
ds004505,13,3,2,phase,100013
ds004505,13,4,0,none,0
ds004505,13,4,0,phase,100013
ds004505,13,4,1,none,0
ds004505,13,4,1,phase,100013
ds004505,13,4,2,none,0
ds004505,13,4,2,phase,100013
ds004505,13,5,0,none,0
ds004505,13,5,0,phase,100013
ds004505,13,5,1,none,0
ds004505,13,5,1,phase,100013
ds004505,13,5,2,none,0
ds004505,13,5,2,phase,100013
ds004505,13,6,0,none,0
ds004505,13,6,0,phase,100013
ds004505,13,6,1,none,0
ds004505,13,6,1,phase,100013
ds004505,13,6,2,none,0
ds004505,13,6,2,phase,100013
ds004505,13,7,0,none,0
ds004505,13,7,0,phase,100013
ds004505,13,7,1,none,0
ds004505,13,7,1,phase,100013
ds004505,13,7,2,none,0
ds004505,13,7,2,phase,100013
ds004505,13,8,0,none,0
ds004505,13,8,0,phase,100013
ds004505,13,8,1,none,0
ds004505,13,8,1,phase,100013
ds004505,13,8,2,none,0
ds004505,13,8,2,phase,100013
ds004505,13,9,0,none,0
ds004505,13,9,0,phase,100013
ds004505,13,9,1,none,0
ds004505,13,9,1,phase,100013
ds004505,13,9,2,none,0
ds004505,13,9,2,phase,100013
ds004505,13,10,0,none,0
ds004505,13,10,0,phase,100013
ds004505,13,10,1,none,0
ds004505,13,10,1,phase,100013
ds004505,13,10,2,none,0
ds004505,13,10,2,phase,100013
ds004505,14,1,0,none,0
ds004505,14,1,0,phase,100014
ds004505,14,1,1,none,0
ds004505,14,1,1,phase,100014
ds004505,14,1,2,none,0
ds004505,14,1,2,phase,100014
ds004505,14,2,0,none,0
ds004505,14,2,0,phase,100014
ds004505,14,2,1,none,0
ds004505,14,2,1,phase,100014
ds004505,14,2,2,none,0
ds004505,14,2,2,phase,100014
ds004505,14,3,0,none,0
ds004505,14,3,0,phase,100014
ds004505,14,3,1,none,0
ds004505,14,3,1,phase,100014
ds004505,14,3,2,none,0
ds004505,14,3,2,phase,100014
ds004505,14,4,0,none,0
ds004505,14,4,0,phase,100014
ds004505,14,4,1,none,0
ds004505,14,4,1,phase,100014
ds004505,14,4,2,none,0
ds004505,14,4,2,phase,100014
ds004505,14,5,0,none,0
ds004505,14,5,0,phase,100014
ds004505,14,5,1,none,0
ds004505,14,5,1,phase,100014
ds004505,14,5,2,none,0
ds004505,14,5,2,phase,100014
ds004505,14,6,0,none,0
ds004505,14,6,0,phase,100014
ds004505,14,6,1,none,0
ds004505,14,6,1,phase,100014
ds004505,14,6,2,none,0
ds004505,14,6,2,phase,100014
ds004505,14,7,0,none,0
ds004505,14,7,0,phase,100014
ds004505,14,7,1,none,0
ds004505,14,7,1,phase,100014
ds004505,14,7,2,none,0
ds004505,14,7,2,phase,100014
ds004505,14,8,0,none,0
ds004505,14,8,0,phase,100014
ds004505,14,8,1,none,0
ds004505,14,8,1,phase,100014
ds004505,14,8,2,none,0
ds004505,14,8,2,phase,100014
ds004505,14,9,0,none,0
ds004505,14,9,0,phase,100014
ds004505,14,9,1,none,0
ds004505,14,9,1,phase,100014
ds004505,14,9,2,none,0
ds004505,14,9,2,phase,100014
ds004505,14,10,0,none,0
ds004505,14,10,0,phase,100014
ds004505,14,10,1,none,0
ds004505,14,10,1,phase,100014
ds004505,14,10,2,none,0
ds004505,14,10,2,phase,100014
ds004505,15,1,0,none,0
ds004505,15,1,0,phase,100015
