dataset,subject,component,mean_rho,activation,empirical_density,fitted_density
ds004505,sub-01,34,1.0376397047162462,-0.2990368806003012,0.32554007721922407,0.32878164228749773
ds004505,sub-01,34,1.0376397047162462,-0.23258424046690074,0.35488480554943391,0.3607250238361332
ds004505,sub-01,34,1.0376397047162462,-0.16613160033350072,0.39014844437454399,0.39683504663359581
ds004505,sub-01,34,1.0376397047162462,-0.099678960200100697,0.46959252225082404,0.48244045561677024
ds004505,sub-01,34,1.0376397047162462,-0.033226320066700232,2.5928479243594666,1.9408403642758456
ds004505,sub-01,34,1.0376397047162462,0.033226320066700232,2.630821194287754,1.9679398114084032
ds004505,sub-01,34,1.0376397047162462,0.099678960200100697,0.47431996374999341,0.48013635462651405
ds004505,sub-01,34,1.0376397047162462,0.16613160033350072,0.3832494545444553,0.39368883097111884
ds004505,sub-01,34,1.0376397047162462,0.23258424046690074,0.34077935001939197,0.35778969286760831
ds004505,sub-01,34,1.0376397047162462,0.2990368806003012,0.31283748034543973,0.32607290828747165
ds004505,sub-01,34,1.0376397047162462,0.36548952073370167,0.2908145211663824,0.29707048315210527
ds004505,sub-01,34,1.0376397047162462,0.43194216086710213,0.27301935519796433,0.27055650087483707
ds004505,sub-01,34,1.0376397047162462,0.4983948010005026,0.25136152361437136,0.24633878175285778
ds004505,sub-01,34,1.0376397047162462,0.56484744113390262,0.23214428174783228,0.2242339861124073
ds004505,sub-01,34,1.0376397047162462,0.63130008126730264,0.20929498116851059,0.20406922062708494
ds004505,sub-01,34,1.0376397047162462,0.6977527214007031,0.19951340505844062,0.18568290381127944
ds004505,sub-01,34,1.0376397047162462,0.76420536153410357,0.17873956660070858,0.16892491738525603
ds004505,sub-01,34,1.0376397047162462,0.83065800166750403,0.16572949385705954,0.15365636492051601
ds004505,sub-01,34,1.0376397047162462,0.89711064180090405,0.15095143486169063,0.13974911656842295
ds004505,sub-01,34,1.0376397047162462,0.96356328193430407,0.13646163449431584,0.12708524114935851
ds004505,sub-01,34,1.0376397047162462,1.0300159220677045,0.12437398936026081,0.11555638522964554
ds004505,sub-01,34,1.0376397047162462,1.096468562201105,0.11318955459393328,0.10506313520932985
ds004505,sub-01,34,1.0376397047162462,1.1629212023345055,0.1036770198699949,0.095514384452948839
ds004505,sub-01,34,1.0376397047162462,1.2293738424679055,0.09199293681513851,0.086826718902447267
ds004505,sub-01,34,1.0376397047162462,1.2958264826013055,0.082653357267997801,0.078923829186318628
ds004505,sub-01,34,1.0376397047162462,1.362279122734706,0.075197067423779435,0.071735953743294112
ds004505,sub-01,34,1.0376397047162462,1.4287317628681064,0.068451815528623144,0.065199355195292324
ds004505,sub-01,34,1.0376397047162462,1.4951844030015069,0.061821867084666103,0.059255830702389732
ds004505,sub-01,34,1.0376397047162462,1.5616370431349069,0.05257837374686003,0.053852256045633831
ds004505,sub-01,34,1.0376397047162462,1.6280896832683069,0.05100255991380287,0.04894016254187232
ds004505,sub-01,34,1.0376397047162462,1.6945423234017074,0.043450183860251811,0.0444753454877777
ds004505,sub-01,34,1.0376397047162462,1.7609949635351079,0.040029514808007302,0.040417502584280868
ds004505,sub-01,34,1.0376397047162462,1.8274476036685083,0.035225204341371767,0.036729900657805167
ds004505,sub-01,34,1.0376397047162462,1.8939002438019088,0.032726962898721283,0.033379068936706779
ds004505,sub-01,34,1.0376397047162462,1.9603528839353088,0.029210207637144461,0.030334517136262874
ds004505,sub-01,34,1.0376397047162462,2.0268055240687088,0.02588562479423228,0.027568476636579686
ds004505,sub-01,34,1.0376397047162462,2.0932581642021093,0.024309810961175821,0.025055663092966831
ds004505,sub-01,34,1.0376397047162462,2.1597108043355098,0.021388790197461417,0.022773058889116942
ds004505,sub-01,34,1.0376397047162462,2.2261634444689102,0.019447848768940658,0.020699713923733293
ds004505,sub-01,34,1.0376397047162462,2.2926160846023103,0.016353872828427592,0.018816563306691535
ds004505,sub-01,34,1.0376397047162462,2.3590687247357103,0.014970231414036337,0.017106260628281262
ds004505,sub-01,34,1.0376397047162462,2.4255213648691107,0.015335359009500638,0.015553025552339384
ds004505,sub-01,34,1.0376397047162462,2.4919740050025112,0.011972341682855761,0.014142504569610352
ds004505,sub-01,34,1.0376397047162462,2.5584266451359117,0.011491910636192208,0.01286164383039195
ds004505,sub-01,34,1.0376397047162462,2.6248792852693121,0.010377310607932762,0.01169857305474767
ds004505,sub-01,34,1.0376397047162462,2.6913319254027126,0.0098776623194026664,0.010642499593853424
ds004505,sub-01,34,1.0376397047162462,2.7577845655361131,0.0084555864212785478,0.0096836117871552368
ds004505,sub-01,34,1.0376397047162462,2.8242372056695126,0.008090458825814462,0.008812990826845387
ds004505,sub-01,34,1.0376397047162462,2.8906898458029122,0.007360203634885645,0.0080225304037206888
ds004505,sub-01,34,1.0376397047162462,2.9571424859363127,0.0063801242996919952,0.0073048634668440122
ds004505,sub-01,34,1.0376397047162462,3.0235951260697131,0.0058036070436957299,0.0066532954837159545
ds004505,sub-01,34,1.0376397047162462,3.0900477662031136,0.0054192622063648872,0.0060617436380406104
ds004505,sub-01,34,1.0376397047162462,3.1565004063365141,0.0047466587410359123,0.0055246814488231861
ds004505,sub-01,34,1.0376397047162462,3.2229530464699145,0.0050157001271675019,0.0050370883376646318
ds004505,sub-01,34,1.0376397047162462,3.289405686603315,0.0040932725175734782,0.0045944037109252982
ds004505,sub-01,34,1.0376397047162462,3.3558583267367155,0.0036320587127764668,0.004192485160120895
ds004505,sub-01,34,1.0376397047162462,3.4223109668701159,0.003651275954643009,0.0038275704176931455
ds004505,sub-01,34,1.0376397047162462,3.4887636070035164,0.0031708449079794554,0.003496242736362475
ds004505,sub-01,34,1.0376397047162462,3.555216247136916,0.00317084490797954,0.0031953993888116966
ds004505,sub-01,34,1.0376397047162462,3.6216688872703156,0.0029018035218478649,0.0029222230106505371
ds004505,sub-01,34,1.0376397047162462,3.688121527403716,0.0022292000565188896,0.0026741555336446498
ds004505,sub-01,34,1.0376397047162462,3.7545741675371165,0.0021907655727858052,0.0024488744782231444
ds004505,sub-01,34,1.0376397047162462,3.8210268076705169,0.0021331138471861791,0.002244271394459969
