 minimum eigenvalues =   -1.2330348555383841E-007   71889.488818632090        95464.404216036477     
 maximum eigenvalues =    447525089.89036089        193199717.73536611        133678495.32096455     
 num eigs kept =           60
 iter   107 lrate =  1.0000000000 LL =  -5.8901762369 nd =  0.0098875925, D =   0.33493E+01  0.33493E+01  (  3.68 s,   0.4 h)
 iter   108 lrate =  1.0000000000 LL =  -5.8890499193 nd =  0.0101346325, D =   0.33524E+01  0.33524E+01  (  3.68 s,   0.4 h)
 iter   109 lrate =  1.0000000000 LL =  -5.8884600310 nd =  0.0099099778, D =   0.33557E+01  0.33557E+01  (  3.67 s,   0.4 h)
 iter   110 lrate =  1.0000000000 LL =  -5.8874561937 nd =  0.0101571943, D =   0.33588E+01  0.33588E+01  (  3.68 s,   0.4 h)
 iter   111 lrate =  1.0000000000 LL =  -5.8869625374 nd =  0.0099212719, D =   0.33621E+01  0.33621E+01  (  3.68 s,   0.4 h)
 iter   112 lrate =  1.0000000000 LL =  -5.8859671803 nd =  0.0101796358, D =   0.33652E+01  0.33652E+01  (  3.68 s,   0.4 h)
 iter   113 lrate =  1.0000000000 LL =  -5.8853917459 nd =  0.0099470601, D =   0.33685E+01  0.33685E+01  (  3.68 s,   0.4 h)
 iter   114 lrate =  1.0000000000 LL =  -5.8843212356 nd =  0.0102144751, D =   0.33716E+01  0.33716E+01  (  3.68 s,   0.4 h)
 iter   115 lrate =  1.0000000000 LL =  -5.8837371515 nd =  0.0099758538, D =   0.33750E+01  0.33750E+01  (  3.68 s,   0.4 h)
 iter   116 lrate =  1.0000000000 LL =  -5.8826972912 nd =  0.0102454498, D =   0.33781E+01  0.33781E+01  (  3.67 s,   0.4 h)
 iter   117 lrate =  1.0000000000 LL =  -5.8821724213 nd =  0.0099975571, D =   0.33814E+01  0.33814E+01  (  3.68 s,   0.4 h)
 iter   118 lrate =  1.0000000000 LL =  -5.8811259425 nd =  0.0102760397, D =   0.33846E+01  0.33846E+01  (  3.68 s,   0.4 h)
 iter   119 lrate =  1.0000000000 LL =  -5.8805564610 nd =  0.0100258299, D =   0.33880E+01  0.33880E+01  (  3.69 s,   0.4 h)
 iter   120 lrate =  1.0000000000 LL =  -5.8794183679 nd =  0.0103169615, D =   0.33912E+01  0.33912E+01  (  3.68 s,   0.4 h)
 iter   121 lrate =  1.0000000000 LL =  -5.8787926095 nd =  0.0100618339, D =   0.33945E+01  0.33945E+01  (  3.68 s,   0.4 h)
 iter   122 lrate =  1.0000000000 LL =  -5.8776085340 nd =  0.0103613491, D =   0.33977E+01  0.33977E+01  (  3.67 s,   0.4 h)
 iter   123 lrate =  1.0000000000 LL =  -5.8769769476 nd =  0.0100986255, D =   0.34011E+01  0.34011E+01  (  3.68 s,   0.4 h)
 iter   124 lrate =  1.0000000000 LL =  -5.8757884014 nd =  0.0104053363, D =   0.34043E+01  0.34043E+01  (  3.68 s,   0.4 h)
 iter   125 lrate =  1.0000000000 LL =  -5.8751865035 nd =  0.0101343846, D =   0.34077E+01  0.34077E+01  (  3.68 s,   0.4 h)
 iter   126 lrate =  1.0000000000 LL =  -5.8740234170 nd =  0.0104485787, D =   0.34109E+01  0.34109E+01  (  3.71 s,   0.4 h)
 iter   127 lrate =  1.0000000000 LL =  -5.8734794781 nd =  0.0101684972, D =   0.34142E+01  0.34142E+01  (  3.70 s,   0.4 h)
 iter   128 lrate =  1.0000000000 LL =  -5.8723611082 nd =  0.0104905359, D =   0.34173E+01  0.34173E+01  (  3.70 s,   0.4 h)
 iter   129 lrate =  1.0000000000 LL =  -5.8718767337 nd =  0.0102005858, D =   0.34205E+01  0.34205E+01  (  3.70 s,   0.4 h)
 iter   130 lrate =  1.0000000000 LL =  -5.8707820001 nd =  0.0105315400, D =   0.34236E+01  0.34236E+01  (  3.70 s,   0.4 h)
 iter   131 lrate =  1.0000000000 LL =  -5.8703316053 nd =  0.0102314659, D =   0.34268E+01  0.34268E+01  (  3.70 s,   0.4 h)
 iter   132 lrate =  1.0000000000 LL =  -5.8692402345 nd =  0.0105724520, D =   0.34298E+01  0.34298E+01  (  3.71 s,   0.4 h)
